Hybridization REF,TCGA-2F-A9KO,TCGA-2F-A9KP,TCGA-2F-A9KQ,TCGA-2F-A9KR,TCGA-2F-A9KT,TCGA-2F-A9KW,TCGA-4Z-AA7M,TCGA-4Z-AA7N,TCGA-4Z-AA7O,TCGA-4Z-AA7Q,TCGA-4Z-AA7R,TCGA-4Z-AA7S,TCGA-4Z-AA7W,TCGA-4Z-AA7Y,TCGA-4Z-AA80,TCGA-4Z-AA81,TCGA-4Z-AA82,TCGA-4Z-AA83,TCGA-4Z-AA84,TCGA-4Z-AA86
SLC35E2|9906,43.9242,99.7253,44.6871,99.0851,81.4585,25.4163,97.756,42.6859,22.4771,38.4636,73.6849,72.3565,5.8987,23.6255,28.8959,26.1873,28.0697,127.1485,34.5045,21.7107
SLC35E3|55508,158.0175,272.5759,241.5392,174.7498,232.8999,373.3375,283.2244,135.196,248.7116,296.6887,208.2777,200.8887,70.7849,296.9252,711.8644,258.9532,298.1336,208.5809,158.8749,208.9053
SLC35E4|339665,64.3615,247.3908,249.0264,93.7238,245.342,62.3678,69.9129,54.1235,58.015,136.649,191.6066,103.0481,158.6105,129.8761,944.9249,53.5427,63.9587,248.2376,139.4452,160.0803
SLC35F1|222553,4.6647,7.0745,24.5712,4.7486,4.5223,62.8338,0,5.4078,10.6401,2.649,13.7962,13.7282,3.9325,13.7678,6.7797,2.2039,1.4735,33.0033,111.4728,2.6783
SLC35F2|54733,412.2449,397.0037,550.765,566.5124,422.8378,770.7613,485.2941,519.1528,277.3067,1323.1788,1246.1059,363.3385,637.0637,1568.6095,426.1501,922.314,934.1847,526.7327,1047.5322,977.9043
SLC35F3|148641,5.8309,0.4161,0,41.788,0.5653,0.5236,0,6.3091,0,2.649,0,0,2.6217,0,0.4843,1.1019,273.0845,0,666.7535,1.0044
SLC35F4|341880,0.5831,3.3292,0,0.9497,0,1.5708,1.634,0,0,0.6623,4.4504,0.4576,0,0,0.4843,0,0,3.3003,0,0.3348
SLC35F5|80255,496.2099,749.0637,530.3662,664.3343,819.6721,540.3707,777.2331,525.4619,865.1704,937.7483,580.3293,487.8071,263.477,865.9936,801.4528,449.0358,524.0668,687.1287,458.393,753.2641
SLC36A1|206358,555.6851,277.5697,431.618,521.4003,404.7484,672.3217,489.1068,401.0816,250.0416,296.0265,459.279,267.2414,243.8145,346.9481,771.4286,191.1846,1921.4145,291.0891,424.5344,1561.0981
SLC36A2|153201,0,3.3292,0,0.4749,0.5653,1.5708,3.268,0.9013,1.995,0,2.6702,0,0,0,12.5908,0,0,0,0.5209,0
SLC36A3|285641,0,0,0,0.4749,0.5653,0,0,0.9013,0,0,0,0,0,0,0,0,0,0,0,0
SLC36A4|120103,254.2274,84.4777,193.3241,110.1684,62.182,36.6531,76.2527,109.9594,67.1654,435.0993,170.8945,9.6097,179.5838,176.6866,139.9516,56.7493,320.2358,123.4323,173.981,169.066
SLC37A1|54020,448.3965,1181.856,1836.8104,845.7322,1172.9791,1778.1967,1084.9673,834.6102,1053.3666,908.6093,1494.437,1384.2556,864.4929,732.905,1182.5666,2990.6336,466.6012,1319.4719,528.1938,458.3194
SLC37A2|219855,468.8047,437.37,572.0909,783.9999,1550.0283,112.0536,940.0871,963.4971,637.739,1770.8609,38.7183,638.8168,639.6854,837.9991,750.6053,712.3967,1687.6228,2578.2178,39.0676,956.1433
SLC37A3|84255,941.1079,1047.4407,706.0732,1057.5214,1083.6631,456.5923,1440.6318,625.507,734.8296,1033.1126,1145.9724,1018.6291,658.037,724.6443,1487.6513,1015.978,1037.8193,825.7426,1438.2081,873.4516
SLC37A4|2542,355.6851,1004.1615,1204.9142,429.2768,331.8259,1429.4691,865.4684,369.5358,516.0432,458.2781,697.8193,801.2667,610.8471,875.1721,903.632,353.719,458.7426,861.3861,1044.9277,971.2086
SLC38A10|124565,2861.8076,2926.3421,4388.5025,3128.402,3622.9508,3980.5215,2736.3834,2660.658,3579.0524,3413.9073,2938.1397,2240.4349,2925.7742,2567.6916,2348.184,3992.2865,4301.0806,3662.7063,3617.1376,3538.6676
SLC38A11|151258,1.7493,1.6646,7.8813,1.4246,1.1306,13.0904,0,27.0392,2.66,4.6358,18.6916,5.0337,0,6.8839,38.2567,0,2.4558,9.2409,1.0418,2.6783
SLC38A1|81539,4417.4927,7537.6613,4705.146,1987.7794,7388.9203,5135.6163,5045.7516,5942.3164,4918.3707,3652.3179,4763.6849,5454.6536,990.3326,5084.4424,8139.4673,1754.27,5589.8821,5008.5809,4351.6083,3176.0964
SLC38A2|54407,13540.5248,15510.1956,12093.6486,7980.5591,9604.2962,10732.0138,8334.9673,5815.2321,11122.1945,5500.6623,3198.4869,7722.5448,1559.8886,9205.14,11323.0024,3009.9174,14104.1257,10378.2178,3042.5837,5246.4011
SLC38A3|10991,2.3324,6.2422,5.5633,10.9219,4.5223,5.2362,1.634,0,0.665,0.6623,0,1.3728,0,0.9179,0.9685,0,1.9646,3.3003,0,3.6826
SLC38A4|55089,34.9854,368.7058,2934.1678,2.8492,1.6959,1871.4001,483.1155,217.215,2.66,0.6623,1404.5394,46.2181,7.865,0.9179,6103.632,0,6.8762,77.2277,5.7299,87.3786
SLC38A5|92745,717.7843,9.9875,387.1117,42.7377,2910.1187,15.7085,38.1264,187.4718,140.9809,128.4768,52.0694,69.0984,318.5319,123.9101,169.0073,39.6694,161.1002,24.4224,1743.4562,284.2317
SLC38A6|145389,139.3586,73.6579,117.7561,58.8831,37.3092,68.07,151.9608,73.9072,168.2461,162.9139,217.1785,138.6544,198.5909,167.508,101.6949,64.4628,122.2986,185.4785,104.7011,117.844
